1stIPC,SUM,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
E21B,121,6,4,7,8,16,14,14,7,19,7,19
E21C,4,0,0,0,0,0,4,0,0,0,0,0
E21D,19,3,3,2,1,3,0,2,0,0,1,4
E21F,4,0,0,0,1,0,0,0,0,0,1,2
F01B,56,14,13,8,8,4,4,2,1,0,0,2
F01C,163,35,15,17,28,25,16,5,9,8,1,4
F01D,946,53,50,62,107,71,77,122,116,113,96,79
F01K,200,25,12,28,26,21,27,21,15,16,5,4
F01L,669,89,123,60,67,86,85,61,33,25,23,17
F01M,366,31,24,16,32,41,50,50,48,40,25,9
F01N,1712,192,197,174,187,148,223,164,144,141,71,71
F01P,450,37,36,23,39,55,76,52,38,50,21,23
F02B,979,114,95,79,96,131,129,115,85,52,49,34
F02C,412,40,26,26,27,35,43,42,45,50,40,38
F02D,2376,133,173,171,227,276,315,318,304,234,119,106
F02F,300,31,17,17,25,30,38,40,42,20,24,16
F02G,34,3,5,5,6,7,2,2,0,2,0,2
F02K,42,2,3,3,2,7,5,5,3,8,1,3
F02M,1602,119,138,156,184,167,204,203,182,113,72,64
F02N,340,43,36,38,43,33,32,36,29,17,18,15
F02P,362,19,26,46,43,47,52,39,38,26,16,10
F03B,76,6,5,7,6,5,9,8,9,6,9,6
F03C,150,17,11,24,23,11,17,16,13,9,2,7
F03D,184,28,15,8,17,13,21,16,17,12,13,24
F03G,57,3,2,8,6,10,8,6,6,1,2,5
F03H,7,0,2,0,0,1,1,1,0,0,1,1
F04B,876,106,91,81,90,94,78,82,54,68,62,70
F04C,622,20,56,37,60,45,60,58,83,69,49,85
F04D,1351,45,73,87,123,143,138,163,152,174,117,136
F04F,28,2,2,5,4,3,4,0,3,3,1,1
F15B,570,20,42,45,68,68,68,91,70,40,27,31
F15C,5,0,1,0,0,1,0,2,0,1,0,0
F15D,20,3,1,3,2,3,1,1,2,0,0,4
F16B,399,40,38,35,48,37,38,32,30,29,27,45
F16C,1776,241,190,161,170,188,241,180,128,105,80,92
F16D,1652,156,173,148,179,167,169,172,150,136,107,95
F16F,1125,111,105,137,101,119,133,100,80,83,66,90
F16G,256,32,24,31,25,23,22,18,17,26,16,22
F16H,3759,336,341,338,330,376,402,440,376,301,280,239
F16J,657,42,50,61,89,62,84,71,58,54,26,60
F16K,1397,115,117,113,118,110,149,126,162,150,101,136
F16L,825,73,91,60,84,83,97,64,63,74,46,90
F16M,241,29,40,26,27,27,20,24,11,14,8,15
F16N,34,5,2,1,3,0,1,4,2,3,6,7
F16P,11,0,2,3,1,0,3,0,1,1,0,0
F16T,13,2,0,2,2,1,0,2,1,2,1,0
F17C,278,13,12,16,22,20,29,32,38,38,26,32
F17D,33,2,4,6,4,2,4,3,1,3,3,1
F21K,171,4,15,14,12,15,37,20,14,13,16,11
F21L,9,1,1,0,0,0,3,0,0,0,2,2
F21S,800,33,38,70,53,66,128,132,82,68,62,68
F21V,2241,258,244,230,246,264,285,196,142,124,120,132
F21W,1,0,0,0,0,0,0,0,0,1,0,0
F21Y,4,0,0,0,0,0,0,2,0,0,2,0
F22B,61,6,6,6,10,9,7,5,2,4,3,3
F22D,19,1,3,1,4,6,0,2,0,0,1,1
F22G,7,0,0,1,1,1,3,0,0,1,0,0
F23B,3,1,0,1,0,1,0,0,0,0,0,0
F23C,27,3,4,0,4,3,5,3,2,3,0,0
F23D,106,6,9,8,17,4,15,19,8,9,8,3
F23G,31,5,0,3,6,5,7,2,1,0,1,1
F23J,26,2,1,1,1,3,10,4,1,1,0,2
F23K,7,2,1,0,0,0,0,3,0,0,0,1
F23L,19,2,2,3,2,1,3,2,1,0,0,3
F23M,9,0,1,0,0,0,1,3,2,1,0,1
F23N,46,5,1,4,7,5,9,4,3,2,0,6
F23Q,54,8,9,14,9,7,5,1,0,0,1,0
F23R,156,2,7,10,9,18,19,24,16,24,11,16
F24B,2,0,0,0,2,0,0,0,0,0,0,0
F24C,31,3,0,0,3,2,7,2,5,1,3,5
F24D,85,1,4,4,14,12,5,9,9,15,7,5
F24F,1163,18,25,53,62,91,153,136,128,183,134,180
F24H,164,8,14,11,18,32,19,12,15,19,8,8
F24J,41,6,4,10,7,11,2,1,0,0,0,0
F24S,14,0,0,0,0,1,4,3,5,1,0,0
F24T,3,0,0,0,0,0,0,0,0,0,1,2
F24V,8,0,0,0,0,0,2,3,0,1,1,1
F25B,1453,84,96,134,226,167,153,124,122,140,81,126
F25C,39,5,4,0,0,1,1,6,11,6,2,3
F25D,303,25,27,34,52,35,31,21,15,30,18,15
F25J,46,4,0,1,3,5,6,4,2,5,8,8
F26B,185,14,22,21,19,19,26,25,15,10,8,6
F27B,74,7,10,3,10,10,9,6,5,7,2,5
