1stIPC,SUM,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
C12Q,331,16,13,19,20,21,31,27,27,32,60,65
C12R,5,0,0,1,0,1,1,1,1,0,0,0
C13B,2,0,0,0,0,0,0,0,1,0,0,1
C13K,4,0,0,0,0,0,0,0,1,0,1,2
C14B,2,0,0,0,1,0,0,0,0,0,1,0
C14C,8,0,0,0,1,2,0,1,0,0,2,2
C21B,16,0,2,0,1,1,3,4,2,1,0,2
C21C,16,0,0,1,1,0,0,2,1,1,5,5
C21D,141,1,3,3,10,6,13,14,22,30,23,16
C22B,113,11,8,8,11,15,6,4,5,16,9,20
C22C,176,6,5,2,11,8,18,15,20,24,32,35
C22F,45,1,0,1,1,3,2,3,3,12,9,10
C23C,405,18,17,22,20,40,48,47,51,47,48,47
C23F,23,1,1,1,3,2,4,0,2,3,3,3
C23G,4,1,0,2,0,0,0,0,1,0,0,0
C25B,41,1,2,0,2,2,4,2,5,3,7,13
C25C,32,3,3,2,1,4,3,4,2,4,2,4
C25D,81,4,2,3,8,5,4,5,8,13,15,14
C25F,12,1,4,1,1,0,1,1,0,0,2,1
C30B,142,0,4,8,7,7,8,11,17,17,27,36
C40B,9,2,2,1,0,0,0,0,1,0,2,1
D01B,3,0,0,0,0,0,0,2,0,0,1,0
D01C,2,0,1,0,0,0,0,0,0,0,0,1
D01D,40,5,1,2,0,3,2,3,1,3,11,9
D01F,53,3,3,1,2,5,2,8,8,5,4,12
D01G,2,1,0,0,0,0,1,0,0,0,0,0
D01H,15,0,0,1,2,1,4,2,0,1,0,4
D02G,15,0,0,3,0,1,2,0,1,2,2,4
D02J,2,0,0,0,0,1,0,1,0,0,0,0
D03C,3,1,0,0,0,0,0,0,0,2,0,0
D03D,23,1,1,2,1,3,0,2,3,3,5,2
D04B,26,0,0,1,1,1,4,0,4,5,4,6
D04C,4,0,0,0,0,0,0,0,0,1,3,0
D04D,1,0,0,0,0,0,0,0,0,0,0,1
D04H,9,0,0,0,0,0,2,0,2,1,0,4
D05B,5,0,0,0,0,2,0,0,1,0,0,2
D05C,2,0,0,0,0,1,0,0,0,1,0,0
D06B,12,0,0,0,0,0,5,4,2,0,0,1
D06C,5,0,0,1,0,0,0,0,1,0,1,2
D06F,310,3,2,12,9,20,33,63,40,55,27,46
